Time - Plot 0,Amplitude - Plot 0
1070345:30:44.875586,-11.6436
1070345:30:44.884562,-11.6434
1070345:30:44.941410,-11.6436
1070345:30:44.949394,-11.6431
1070345:30:44.958370,-11.6434
1070345:30:44.967346,-11.6436
1070345:30:44.975839,-11.6433
1070345:30:44.985811,-11.6433
1070345:30:45.042660,-11.6434
1070345:30:45.050638,-11.6435
1070345:30:45.059652,-11.6436
1070345:30:45.068597,-11.6432
1070345:30:45.077097,-11.6432
1070345:30:45.087076,-11.6433
1070345:30:45.143919,-11.6434
1070345:30:45.151897,-11.6436
1070345:30:45.160876,-11.6434
1070345:30:45.168856,-11.6433
1070345:30:45.178339,-11.6435
1070345:30:45.235187,-11.6435
1070345:30:45.244446,-11.6433
1070345:30:45.252426,-11.6432
1070345:30:45.261403,-11.6434
1070345:30:45.270381,-11.6435
1070345:30:45.278871,-11.6435
1070345:30:45.335720,-11.6435
1070345:30:45.345693,-11.6431
1070345:30:45.354698,-11.6437
1070345:30:45.362675,-11.6434
1070345:30:45.371625,-11.6435
1070345:30:45.380119,-11.6439
1070345:30:45.437174,-11.6436
1070345:30:45.445365,-11.6438
1070345:30:45.454307,-11.6435
1070345:30:45.463338,-11.6434
1070345:30:45.471754,-11.6435
1070345:30:45.480247,-11.6434
1070345:30:45.488279,-11.644
1070345:30:45.545564,-11.6435
1070345:30:45.553903,-11.6435
1070345:30:45.563327,-11.6435
1070345:30:45.571777,-11.6434
1070345:30:45.580958,-11.6438
1070345:30:45.589644,-11.6438
1070345:30:45.647051,-11.6434
1070345:30:45.655665,-11.6442
1070345:30:45.664516,-11.6439
1070345:30:45.673494,-11.644
1070345:30:45.682674,-11.6437
1070345:30:45.691572,-11.643
1070345:30:45.748326,-11.6443
1070345:30:45.757451,-11.644
1070345:30:45.765731,-11.6432
1070345:30:45.774578,-11.6435
1070345:30:45.783142,-11.6434
1070345:30:45.791932,-11.6436
1070345:30:45.848679,-11.6441
1070345:30:45.859129,-11.6434
1070345:30:45.868117,-11.6434
1070345:30:45.876623,-11.6434
1070345:30:45.885601,-11.6434
1070345:30:45.942757,-11.6429
1070345:30:45.951800,-11.6436
1070345:30:45.960065,-2.47622
1070345:30:45.969002,-11.6438
1070345:30:45.977645,-11.6435
1070345:30:45.986613,-5.83752
1070345:30:45.994585,-11.6435
1070345:30:46.051971,-2.03774
1070345:30:46.060499,-7.69807
1070345:30:46.069542,-11.6433
1070345:30:46.078123,-6.27019
1070345:30:46.087078,-11.6434
1070345:30:46.095051,-5.70659
1070345:30:46.152991,-11.6434
1070345:30:46.161674,-11.6433
1070345:30:46.170571,-11.6433
1070345:30:46.179327,-11.6431
1070345:30:46.187685,-11.6433
1070345:30:46.196884,-11.6433
1070345:30:46.254416,-11.6432
1070345:30:46.263141,-11.6433
1070345:30:46.272441,-11.6433
1070345:30:46.281077,-11.6441
1070345:30:46.289748,-11.6437
1070345:30:46.298506,-11.644
1070345:30:46.354447,-4.02574
1070345:30:46.363581,-6.60592
1070345:30:46.372571,-2.19511
1070345:30:46.381182,-2.09918
1070345:30:46.389928,-1.83121
1070345:30:46.399366,-3.07849
1070345:30:46.456827,-11.6439
1070345:30:46.465527,-11.6437
1070345:30:46.474475,-11.6439
1070345:30:46.482883,-11.6434
1070345:30:46.491951,-11.6431
1070345:30:46.500957,-11.6434
1070345:30:46.556462,-11.6436
1070345:30:46.565289,-11.644
1070345:30:46.574341,-11.6439
1070345:30:46.583591,-11.6436
1070345:30:46.591671,-11.6429
1070345:30:46.600905,-11.6432
1070345:30:46.657745,-11.644
1070345:30:46.666599,-11.6433
1070345:30:46.675339,-8.50338
1070345:30:46.684517,-4.75325
1070345:30:46.693320,-3.92959
1070345:30:46.702173,-2.47465
1070345:30:46.759623,-10.0839
1070345:30:46.768385,-11.6436
1070345:30:46.777250,-11.6436
1070345:30:46.785712,-11.6435
1070345:30:46.794472,-11.6432
1070345:30:46.803505,-11.6438
1070345:30:46.860475,-11.6437
1070345:30:46.869491,-11.643
