Time - Plot 0,Intensity,Temperature
42:11.421818,-4.02094,25.8466
42:11.430799,-4.02633,25.8444
42:11.440770,-4.04939,25.8479
42:11.449754,-4.04438,25.8399
42:11.459727,-4.04788,25.858
42:11.469526,-4.04956,25.8338
42:11.478849,-4.04237,25.8425
42:11.487989,-4.04091,25.8456
42:11.497574,-4.03669,25.8467
42:11.506602,-3.94491,25.8462
42:11.564927,-4.03735,25.8386
42:11.575344,-4.04242,25.8469
42:11.584424,-4.04977,25.8364
42:11.593478,-4.00989,25.8578
42:11.603343,-4.03543,25.839
42:11.661237,-4.02697,25.8379
42:11.670398,-3.99964,25.843
42:11.679495,-4.0796,25.8387
42:11.688476,-4.08288,25.8422
42:11.698034,-4.06795,25.843
42:11.707121,-4.07817,25.8457
42:11.717415,-4.08309,25.8356
42:11.775579,-4.1225,25.8457
42:11.784649,-4.13134,25.8313
42:11.793672,-4.13911,25.8496
42:11.803637,-4.12104,25.8418
42:11.812606,-4.10647,25.8392
42:11.871468,-4.16235,25.8436
42:11.880474,-4.12393,25.8447
42:11.889527,-4.08152,25.8382
42:11.899547,-4.03616,25.83
42:11.908207,-3.9681,25.8269
42:11.966624,-4.0789,25.8158
42:11.976672,-4.00503,25.8551
42:11.985649,-3.8575,25.834
42:11.995913,-3.89253,25.8397
42:12.004870,-3.82212,25.8421
42:12.013837,-3.5541,25.8415
42:12.069847,-3.59033,25.8481
42:12.083090,-3.70528,25.8384
42:12.092379,-3.6101,25.8524
42:12.101078,-3.66119,25.8313
42:12.110567,-3.38882,25.8494
42:12.120545,-3.67189,25.8439
42:12.178922,-3.74763,25.8356
42:12.187898,-3.47109,25.8309
42:12.197873,-3.55687,25.8108
42:12.206851,-4.02113,25.8221
42:12.215823,-4.16719,25.8187
42:12.274187,-3.72146,25.8419
42:12.283163,-3.84537,25.8266
42:12.292139,-4.1103,25.8406
42:12.302113,-4.16785,25.8166
42:12.311088,-4.04503,25.8209
42:12.321063,-4.16638,25.8293
42:12.377425,-4.17633,25.8245
42:12.388396,-4.15964,25.8322
42:12.397372,-4.10251,25.831
42:12.407346,-4.05618,25.8307
42:12.416320,-4.03891,25.8235
42:12.426296,-4.15502,25.8425
42:12.483657,-3.8038,25.8238
42:12.494627,-3.69275,25.8306
42:12.503802,-3.72063,25.835
42:12.513417,-3.85431,25.833
42:12.570421,-3.93966,25.8355
42:12.591147,-3.27363,25.8307
42:12.600267,-3.40962,25.8259
42:12.610291,-3.8602,25.84
42:12.619261,-3.95207,25.8223
42:12.676083,-3.29378,25.8289
42:12.691042,-3.32556,25.8386
42:12.701015,-3.92686,25.825
42:12.709963,-3.99643,25.8463
42:12.718973,-3.87479,25.8329
42:12.728921,-3.84808,25.8343
42:12.785437,-3.86057,25.8365
42:12.797406,-3.90933,25.8376
42:12.806382,-3.9383,25.8408
42:12.815361,-3.79821,25.8395
42:12.825304,-3.63579,25.8462
42:12.834309,-3.40311,25.8338
42:12.890738,-3.90966,25.8452
42:12.901710,-3.69071,25.8368
42:12.911679,-3.60573,25.8436
42:12.920658,-3.50563,25.8517
42:12.929634,-3.5677,25.8483
42:12.987137,-3.74158,25.8509
42:12.998077,-3.59698,25.8517
42:13.007078,-3.40156,25.8583
42:13.017044,-3.20915,25.8488
42:13.026028,-2.95246,25.8682
42:13.034977,-2.87832,25.844
42:13.092103,-3.0135,25.8507
42:13.103175,-2.87477,25.8575
42:13.112398,-2.87206,25.8575
42:13.121352,-2.85283,25.8615
42:13.131569,-2.96586,25.8615
42:13.188362,-3.2627,25.8624
42:13.202289,-3.36786,25.8561
42:13.211563,-3.29405,25.8624
42:13.220290,-3.13549,25.8695
