Time - Plot 0,Amplitude - Plot 0
20:50.838675,-1.18223
20:50.847651,-1.17784
20:50.856627,-1.17075
20:50.865609,-1.12592
20:50.873581,-1.19315
20:50.882563,-1.21914
20:50.890570,-1.38269
20:50.900090,-1.46268
20:50.908066,-1.42
20:50.917044,-1.4297
20:50.974946,-1.6925
20:50.983326,-1.86769
20:50.990564,-1.98263
20:51.000120,-1.79456
20:51.009062,-1.59788
20:51.018010,-1.66546
20:51.027065,-1.68199
20:51.084383,-1.58512
20:51.093234,-1.40194
20:51.102067,-1.29184
20:51.110707,-1.33391
20:51.119160,-1.20199
20:51.176987,-0.972225
20:51.186218,-0.8607
20:51.194805,-0.806564
20:51.202781,-0.805461
20:51.211759,-0.819781
20:51.220817,-0.870661
20:51.277667,-0.81206
20:51.286723,-1.08271
20:51.294601,-1.14886
20:51.303654,-0.99484
20:51.311615,-1.13961
20:51.321234,-1.20195
20:51.377729,-1.14961
20:51.387565,-0.980442
20:51.396219,-0.965968
20:51.404651,-1.19481
20:51.413334,-1.12393
20:51.422023,-1.10139
20:51.478822,-1.47471
20:51.487758,-1.40355
20:51.496605,-1.21201
20:51.504657,-1.08186
20:51.513888,-1.14837
20:51.522528,-1.1561
20:51.531999,-0.993209
20:51.587823,-1.77787
20:51.597034,-1.0188
20:51.606067,-1.58393
20:51.614810,-1.36598
20:51.623464,-1.349
20:51.632306,-2.23448
20:51.689950,-2.21385
20:51.697941,-1.17748
20:51.707839,-1.92611
20:51.716463,-1.79366
20:51.725469,-1.5288
20:51.734511,-1.65925
20:51.792486,-3.04971
20:51.801152,-2.94016
20:51.809548,-3.94929
20:51.818531,-1.78293
20:51.826494,-1.31085
20:51.836469,-1.24822
20:51.893840,-3.2961
20:51.902399,-4.23586
20:51.910150,-2.59855
20:51.919330,-3.40583
20:51.927871,-5.10385
20:51.984231,-5.08703
20:51.993604,-5.18323
20:52.001758,-5.70008
20:52.010832,-4.1931
20:52.018813,-5.38257
